Country,Data_Engineer
Singapore,100
India,80
Sri Lanka,73
Nepal,56
Tunisia,50
Canada,49
United States,47
Nigeria,45
South Africa,44
Pakistan,44
United Arab Emirates,42
Kenya,40
United Kingdom,40
Ireland,40
Australia,34
Hong Kong,34
Morocco,34
Ghana,33
Netherlands,33
Philippines,30
Israel,30
New Zealand,29
Malaysia,28
Vietnam,26
Portugal,23
Bangladesh,22
Egypt,21
Sweden,21
Thailand,20
Switzerland,20
Finland,19
France,18
Belgium,18
Norway,17
Indonesia,17
Denmark,17
Germany,16
South Korea,15
Serbia,14
Greece,14
Poland,13
Belarus,13
Romania,13
Hungary,13
Saudi Arabia,12
Taiwan,12
Austria,10
Chile,10
Peru,10
Kazakhstan,10
Spain,10
Ukraine,9
Argentina,9
Russia,8
Czechia,8
Colombia,8
Italy,7
Mexico,6
Brazil,5
TÃ¼rkiye,5
Iran,4
Japan,3
